,Date,Tweet Volume,Polarity,Retweet,Sentiment Score,Year
310,2010-11-22,79,positive,Yes,0.3167240938809026,2010
311,2010-11-23,72,positive,Yes,0.303751679649327,2010
312,2010-11-24,69,positive,Yes,0.4403848118122351,2010
313,2010-11-25,70,positive,Yes,0.1162674243894499,2010
314,2010-11-26,51,positive,No,0.277495901227591,2010
315,2010-11-27,59,positive,Yes,0.2170035185778904,2010
316,2010-11-28,60,positive,No,0.21464900120821587,2010
317,2010-11-29,49,positive,No,0.30715731154735415,2010
318,2010-11-30,86,positive,Yes,0.26941996009611724,2010
319,2010-12-01,2,positive,No,0.6945661251015435,2010
320,2010-12-02,1,positive,No,0.4215,2010
321,2010-12-04,5,negative,No,-0.034298992443324926,2010
322,2010-12-05,4,negative,No,0.0,2010
323,2010-12-06,9,positive,No,0.2740560743211053,2010
324,2010-12-07,3,positive,No,0.36385692695214106,2010
325,2010-12-08,14,positive,No,0.13506097325169192,2010
326,2010-12-09,19,negative,Yes,-0.05678016702229414,2010
327,2010-12-10,60,positive,Yes,0.009269570758080655,2010
328,2010-12-11,36,positive,Yes,0.24418913487354196,2010
329,2010-12-12,51,positive,Yes,0.5168747710148799,2010
330,2010-12-13,56,positive,No,0.17329946500721904,2010
331,2010-12-14,92,positive,Yes,0.10985598284347782,2010
332,2010-12-15,107,positive,Yes,0.3374448277984041,2010
333,2010-12-16,89,positive,Yes,0.40242455750880973,2010
334,2010-12-17,68,positive,Yes,0.3450885810658872,2010
335,2010-12-18,77,positive,Yes,0.02772514674718226,2010
336,2010-12-19,54,positive,Yes,0.3680669740026976,2010
337,2010-12-20,75,positive,Yes,0.2566707439628019,2010
338,2010-12-21,87,positive,Yes,0.005734991462081613,2010
339,2010-12-22,57,positive,Yes,0.3698702379595326,2010
340,2010-12-23,70,positive,No,0.4747330802464245,2010
341,2010-12-24,73,positive,Yes,0.30287042316148316,2010
342,2010-12-25,52,positive,Yes,0.5905356842961653,2010
343,2010-12-26,41,positive,No,0.40414855122456017,2010
344,2010-12-27,64,positive,Yes,0.40508956261449885,2010
345,2010-12-28,72,positive,Yes,0.26029917493074234,2010
346,2010-12-29,55,positive,Yes,0.22929074681423567,2010
347,2010-12-30,67,positive,Yes,0.1899442681495417,2010
348,2011-01-02,1,negative,No,0.0,2011
349,2011-01-03,7,positive,No,0.004920503625576796,2011
350,2011-01-04,3,positive,No,0.004598166720586649,2011
351,2011-01-05,4,positive,No,0.35519351632047474,2011
352,2011-01-06,1,negative,No,0.0,2011
353,2011-01-07,19,positive,No,0.27711692710606717,2011
354,2011-01-08,13,positive,No,0.0032801278636121756,2011
355,2011-01-09,8,positive,No,0.1269657390961121,2011
356,2011-01-10,24,positive,Yes,0.07030378821562595,2011
357,2011-01-11,75,positive,Yes,0.19885127969881997,2011
358,2011-01-12,199,positive,Yes,0.024970936715218224,2011
359,2011-01-13,1,negative,No,0.0,2011
360,2011-01-14,3,positive,No,0.5556409643983776,2011
361,2011-01-15,3,negative,No,0.0,2011
362,2011-01-17,3,negative,No,-0.04166005633802817,2011
363,2011-01-18,2,positive,Yes,0.23308341384863124,2011
364,2011-01-19,2,negative,No,0.0,2011
365,2011-01-20,1,negative,No,0.0,2011
366,2011-01-21,1,negative,No,0.0,2011
367,2011-01-23,2,positive,No,0.5165938775510205,2011
368,2011-01-24,3,negative,No,-0.03399534450651771,2011
369,2011-01-25,1,negative,No,0.0,2011
370,2011-01-26,4,positive,No,0.6518928749653451,2011
371,2011-01-27,1,negative,No,0.0,2011
372,2011-01-28,6,positive,No,0.4110546018140967,2011
373,2011-01-29,4,positive,No,0.0980245989304813,2011
374,2011-01-30,1,negative,No,0.0,2011
375,2011-01-31,3,positive,No,0.25361176808266356,2011
376,2011-02-01,1,positive,No,0.4939,2011
377,2011-02-02,2,positive,No,0.08675058823529411,2011
378,2011-02-03,5,negative,Yes,0.0,2011
379,2011-02-04,1,negative,No,0.0,2011
380,2011-02-05,2,negative,No,-0.27349049429657796,2011
381,2011-02-06,5,positive,No,0.006834891372170857,2011
382,2011-02-07,16,positive,Yes,0.01033709604005462,2011
383,2011-02-08,9,positive,No,0.5782566559831005,2011
384,2011-02-09,16,positive,Yes,0.2223632755143203,2011
385,2011-02-10,18,positive,No,0.40373053326749786,2011
386,2011-02-11,57,positive,No,0.18842302173992206,2011
387,2011-02-12,144,positive,Yes,0.021990909792178978,2011
388,2011-02-13,1,negative,No,-0.296,2011
389,2011-02-14,2,positive,No,0.7229224719101123,2011
390,2011-02-15,2,positive,No,0.17589892857142858,2011
391,2011-02-16,2,positive,No,0.0625366869037294,2011
392,2011-02-17,1,negative,No,0.0,2011
393,2011-02-18,1,positive,No,0.5574,2011
394,2011-02-19,4,positive,No,0.03510998668442078,2011
395,2011-02-20,2,positive,No,0.5068974919957311,2011
396,2011-02-21,2,positive,No,0.44039999999999996,2011
397,2011-02-22,2,positive,No,0.33731945945945946,2011
398,2011-02-23,2,positive,No,0.13854015345268544,2011
399,2011-02-24,6,positive,No,0.3671256575415996,2011
400,2011-02-25,4,positive,No,0.42277628333967077,2011
401,2011-02-26,4,positive,No,0.05187958306888639,2011
402,2011-02-27,1,positive,No,0.296,2011
403,2011-02-28,3,negative,No,0.0,2011
404,2011-03-01,4,positive,No,0.12066112882276538,2011
405,2011-03-02,3,positive,No,0.2786204630969609,2011
406,2011-03-03,4,positive,No,0.004691693115902375,2011
407,2011-03-04,1,negative,No,0.0,2011
408,2011-03-05,5,positive,No,0.3383836315670101,2011
409,2011-03-06,3,negative,No,-0.09630795618333815,2011
410,2011-03-07,20,positive,No,0.028797688147814332,2011
411,2011-03-08,24,positive,No,0.41233474129209424,2011
412,2011-03-09,6,positive,No,0.00254407743124904,2011
413,2011-03-10,20,positive,No,0.12109587059087844,2011
414,2011-03-11,55,negative,Yes,-0.0428242977770119,2011
415,2011-03-12,88,positive,Yes,0.24825212534693264,2011
416,2011-03-13,4,positive,No,0.00665377405032067,2011
417,2011-03-14,5,positive,No,0.03284849888091379,2011
418,2011-03-15,7,positive,Yes,0.002228253565295304,2011
419,2011-03-16,2,positive,No,0.05727179704414948,2011
420,2011-03-17,3,negative,No,-0.0598388853181526,2011
421,2011-03-18,5,negative,No,-0.001463256743256743,2011
422,2011-03-19,3,positive,No,0.004758398659242039,2011
423,2011-03-20,6,negative,No,0.0,2011
424,2011-03-21,10,positive,No,0.03412503819904247,2011
425,2011-03-22,7,positive,No,0.007102947506316085,2011
426,2011-03-23,4,positive,Yes,0.022412550173936313,2011
427,2011-03-24,3,negative,No,0.0,2011
428,2011-03-25,9,positive,Yes,0.005291760028330436,2011
429,2011-03-26,10,positive,No,0.025061710101762225,2011
430,2011-03-27,7,negative,No,-0.010745797999422406,2011
431,2011-03-28,2,negative,No,0.0,2011
432,2011-03-29,4,negative,No,-0.022695469940728196,2011
433,2011-03-30,8,negative,Yes,-0.014092699551569509,2011
434,2011-03-31,6,positive,No,0.008464873335074431,2011
435,2011-04-02,1,positive,No,0.836,2011
436,2011-04-03,3,negative,No,0.0,2011
437,2011-04-04,2,negative,No,0.0,2011
438,2011-04-05,2,negative,Yes,0.0,2011
439,2011-04-06,2,negative,No,0.0,2011
440,2011-04-07,13,positive,No,0.016611152595976456,2011
441,2011-04-08,18,negative,No,-0.013591767007826615,2011
442,2011-04-09,9,positive,Yes,0.03699882118857229,2011
443,2011-04-10,18,positive,Yes,0.5888500836807798,2011
444,2011-04-11,97,positive,Yes,0.04140926515802778,2011
445,2011-04-12,104,positive,Yes,0.1507051851227511,2011
446,2011-04-13,7,positive,No,0.02636403209628887,2011
447,2011-04-14,5,negative,Yes,0.0,2011
448,2011-04-15,4,positive,No,0.396609485820601,2011
449,2011-04-16,3,positive,No,0.0013161058770749215,2011
450,2011-04-17,3,positive,No,0.5624715469613258,2011
451,2011-04-18,4,positive,No,0.126945584725537,2011
452,2011-04-19,4,positive,No,0.37702513781697905,2011
453,2011-04-20,1,negative,No,0.0,2011
454,2011-04-21,2,positive,No,0.5106,2011
455,2011-04-22,7,positive,No,0.04065137009133943,2011
456,2011-04-23,1,negative,No,0.0,2011
457,2011-04-24,2,positive,No,0.41075450357060583,2011
458,2011-04-25,2,negative,No,0.0,2011
459,2011-04-26,3,negative,No,0.0,2011
460,2011-04-27,2,positive,No,0.25268497854077254,2011
461,2011-04-28,4,positive,No,0.06328901890189019,2011
462,2011-04-29,3,negative,No,-0.1311493687277436,2011
